config_id,split,topic,status,similarity_threshold,pagerank_damping,pagerank_tolerance,pagerank_max_iterations,max_summary_words,use_mmr,mmr_lambda,true_positive,predicted,reference,precision,recall,f1,hit_at_1,hit_at_3,hit_at_5,word_count,budget_utilization,nodes,edges,density,isolated_nodes,isolated_ratio,average_degree,connected_components,mean_redundancy,max_redundancy,pagerank_iterations,runtime_seconds
t=0.00|d=0.85|tol=1e-08|iter=1000|words=100|mmr=0.70,train,d061j,converged,0.0,0.85,1e-08,1000,100,True,0.7,1,5,18,0.2,0.05555555555555555,0.08695652173913045,0,0,1,99,0.99,186,17205,1.0,0,0.0,185.0,1,0.13429842620730287,0.45430454776676077,30,0.085781667
t=0.00|d=0.85|tol=1e-08|iter=1000|words=100|mmr=0.70,train,d062j,converged,0.0,0.85,1e-08,1000,100,True,0.7,0,4,0,0.0,0.0,0.0,0,0,0,100,1.0,120,7140,1.0,0,0.0,119.0,1,0.13091350791758433,0.24710351783829648,21,0.028413624999999776
t=0.00|d=0.85|tol=1e-08|iter=1000|words=100|mmr=0.70,train,d063j,converged,0.0,0.85,1e-08,1000,100,True,0.7,0,3,18,0.0,0.0,0.0,0,0,0,100,1.0,253,31878,1.0,0,0.0,252.0,1,0.22152607046561681,0.3530378592180876,39,0.19186487500000027
t=0.00|d=0.85|tol=1e-08|iter=1000|words=100|mmr=0.70,train,d064j,converged,0.0,0.85,1e-08,1000,100,True,0.7,0,6,19,0.0,0.0,0.0,0,0,0,100,1.0,199,19701,1.0,0,0.0,198.0,1,0.03930701530746291,0.22691578265579623,20,0.07265929199999999
t=0.00|d=0.85|tol=1e-08|iter=1000|words=100|mmr=0.70,train,d065j,converged,0.0,0.85,1e-08,1000,100,True,0.7,1,8,12,0.125,0.08333333333333333,0.1,1,1,1,100,1.0,309,47586,1.0,0,0.0,308.0,1,0.04061715642245301,0.2423033159520457,36,0.2734085420000003
t=0.00|d=0.85|tol=1e-08|iter=1000|words=100|mmr=0.70,train,d066j,converged,0.0,0.85,1e-08,1000,100,True,0.7,0,5,19,0.0,0.0,0.0,0,0,0,100,1.0,204,20706,1.0,0,0.0,203.0,1,0.04248254556818008,0.23638592932847835,56,0.16643062500000028
t=0.00|d=0.85|tol=1e-08|iter=1000|words=100|mmr=0.70,train,d067f,converged,0.0,0.85,1e-08,1000,100,True,0.7,0,3,0,0.0,0.0,0.0,0,0,0,99,0.99,134,8911,1.0,0,0.0,133.0,1,0.1033119210570852,0.1670610438990799,63,0.08270658299999933
t=0.00|d=0.85|tol=1e-08|iter=1000|words=100|mmr=0.70,train,d068f,converged,0.0,0.85,1e-08,1000,100,True,0.7,0,7,0,0.0,0.0,0.0,0,0,0,100,1.0,136,9180,1.0,0,0.0,135.0,1,0.1277819010135278,0.9999999999999999,37,0.0530473339999995
t=0.00|d=0.85|tol=1e-08|iter=1000|words=100|mmr=0.70,train,d069f,converged,0.0,0.85,1e-08,1000,100,True,0.7,0,4,14,0.0,0.0,0.0,0,0,0,100,1.0,331,54615,1.0,0,0.0,330.0,1,0.0994082559769004,0.13673162467158978,16,0.172710833
t=0.00|d=0.85|tol=1e-08|iter=1000|words=100|mmr=0.70,train,d070f,converged,0.0,0.85,1e-08,1000,100,True,0.7,1,7,16,0.14285714285714285,0.0625,0.08695652173913043,1,1,1,100,1.0,167,13861,1.0,0,0.0,166.0,1,0.052971820844836065,0.3394669290404032,34,0.07188058399999964
