config_id,split,topic,status,similarity_threshold,pagerank_damping,pagerank_tolerance,pagerank_max_iterations,max_summary_words,use_mmr,mmr_lambda,true_positive,predicted,reference,precision,recall,f1,hit_at_1,hit_at_3,hit_at_5,word_count,budget_utilization,nodes,edges,density,isolated_nodes,isolated_ratio,average_degree,connected_components,mean_redundancy,max_redundancy,pagerank_iterations,runtime_seconds
t=0.02|d=0.70|tol=1e-04|iter=100|words=100|mmr=0.70,train,d061j,converged,0.02,0.7,0.0001,100,100,True,0.7,2,5,18,0.4,0.1111111111111111,0.1739130434782609,0,1,1,99,0.99,186,4037,0.23464109270560884,1,0.005376344086021506,43.40860215053763,2,0.13429842620730287,0.45430454776676077,9,0.024992750000000008
t=0.02|d=0.70|tol=1e-04|iter=100|words=100|mmr=0.70,train,d062j,converged,0.02,0.7,0.0001,100,100,True,0.7,0,6,0,0.0,0.0,0.0,0,0,0,98,0.98,120,1653,0.23151260504201682,2,0.016666666666666666,27.55,3,0.07196848072945318,0.24710351783829648,8,0.012552791999999924
t=0.02|d=0.70|tol=1e-04|iter=100|words=100|mmr=0.70,train,d063j,converged,0.02,0.7,0.0001,100,100,True,0.7,0,3,18,0.0,0.0,0.0,0,0,0,100,1.0,253,4848,0.1520798042537173,3,0.011857707509881422,38.32411067193676,4,0.22152607046561681,0.3530378592180876,9,0.03603474999999989
t=0.02|d=0.70|tol=1e-04|iter=100|words=100|mmr=0.70,train,d064j,converged,0.02,0.7,0.0001,100,100,True,0.7,1,8,19,0.125,0.05263157894736842,0.07407407407407407,0,1,1,100,1.0,199,3319,0.1684686056545353,2,0.010050251256281407,33.35678391959799,3,0.045155395515103273,0.2988174289990459,8,0.02623433300000011
t=0.02|d=0.70|tol=1e-04|iter=100|words=100|mmr=0.70,train,d065j,converged,0.02,0.7,0.0001,100,100,True,0.7,1,6,12,0.16666666666666666,0.08333333333333333,0.1111111111111111,1,1,1,100,1.0,309,6864,0.14424410540915394,13,0.042071197411003236,44.42718446601942,15,0.043898434478402,0.2047188268814853,9,0.0500470420000001
t=0.02|d=0.70|tol=1e-04|iter=100|words=100|mmr=0.70,train,d066j,converged,0.02,0.7,0.0001,100,100,True,0.7,0,7,19,0.0,0.0,0.0,0,0,0,100,1.0,204,3853,0.18608132908335748,5,0.024509803921568627,37.77450980392157,6,0.01106770126642193,0.12123001481956638,8,0.0256073750000001
t=0.02|d=0.70|tol=1e-04|iter=100|words=100|mmr=0.70,train,d067f,converged,0.02,0.7,0.0001,100,100,True,0.7,0,3,0,0.0,0.0,0.0,0,0,0,99,0.99,134,2185,0.24520255863539445,3,0.022388059701492536,32.61194029850746,4,0.1033119210570852,0.1670610438990799,10,0.014297333000000023
t=0.02|d=0.70|tol=1e-04|iter=100|words=100|mmr=0.70,train,d068f,converged,0.02,0.7,0.0001,100,100,True,0.7,0,7,0,0.0,0.0,0.0,0,0,0,100,1.0,136,2364,0.257516339869281,4,0.029411764705882353,34.76470588235294,5,0.1277819010135278,0.9999999999999999,10,0.014381458999999985
t=0.02|d=0.70|tol=1e-04|iter=100|words=100|mmr=0.70,train,d069f,converged,0.02,0.7,0.0001,100,100,True,0.7,0,4,14,0.0,0.0,0.0,0,0,0,100,1.0,331,13715,0.2511214867710336,1,0.0030211480362537764,82.87009063444108,2,0.10646968269015883,0.14942039715156336,7,0.07235737500000017
t=0.02|d=0.70|tol=1e-04|iter=100|words=100|mmr=0.70,train,d070f,converged,0.02,0.7,0.0001,100,100,True,0.7,1,8,16,0.125,0.0625,0.08333333333333333,0,1,1,100,1.0,167,3139,0.2264627371762499,8,0.04790419161676647,37.59281437125748,9,0.021532164536156966,0.18400632994732116,10,0.020206166999999997
